1194;[12, 1, 10]
1393;[12, 10, 1]
1283;[02, 2, 12]
25171;[10, 1, 12]
25168;[1, 10, 12]
25173;[12, 2, 02]
25166;[02, 10, 0]
8041;[02, 2, 12]
8280;[0, 10, 02]
7692;[12, 2, 02]
7691;[10, 0, 02]
7690;[0, 02, 10]
7693;[12, 2, 02]
1802;[10, 0, 02]
1681;[2, 12, 02]
1803;[02, 0, 10]
22136;[12, 10, 1]
22293;[12, 2, 02]
22292;[12, 10, 1]
13248;[02, 2, 12]
13246;[12, 10, 1]
13235;[12, 2, 02]
13247;[12, 10, 1]
29397;[10, 02, 0]
29395;[10, 1, 12]
29396;[10, 02, 0]
29403;[10, 12, 1]
29402;[02, 2, 12]
29399;[10, 1, 12]
29400;[0, 02, 10]
29401;[0, 02, 10]
29398;[0, 10, 02]
22202;[2, 12, 02]
28863;[12, 2, 02]
28864;[2, 12, 02]
28860;[12, 2, 02]
28859;[2, 12, 02]
28862;[10, 0, 02]
28861;[02, 2, 12]
28858;[1, 10, 12]
23939;[12, 2, 02]
23932;[1, 10, 12]
28376;[02, 12, 2]
29667;[02, 0, 10]
29793;[10, 0, 02]
28380;[10, 12, 1]
28378;[10, 1, 12]
1990;[12, 2, 02]
20100;[10, 0, 02]
21104;[02, 0, 10]
21149;[10, 02, 0]
21144;[10, 1, 12]
21148;[12, 2, 02]
21107;[02, 12, 2]
21150;[0, 02, 10]
21164;[10, 12, 1]
21165;[02, 12, 2]
21105;[02, 12, 2]
28377;[2, 12, 02]
29243;[10, 02, 0]
29244;[2, 12, 02]
20797;[12, 10, 1]
20793;[12, 10, 1]
20790;[2, 12, 02]
29225;[10, 1, 12]
29223;[12, 2, 02]
6118;[12, 1, 10]
6116;[02, 2, 12]
6117;[10, 1, 12]
29792;[12, 1, 10]
29789;[02, 2, 12]
29788;[02, 12, 2]
29060;[02, 2, 12]
29062;[10, 02, 0]
13692;[12, 1, 10]
15289;[02, 2, 12]
13498;[10, 1, 12]
15293;[10, 1, 12]
15268;[0, 02, 10]
13515;[12, 2, 02]
20787;[02, 0, 10]
29302;[10, 1, 12]
29304;[10, 1, 12]
29303;[12, 2, 02]
29305;[10, 1, 12]
29787;[02, 10, 0]
29786;[02, 0, 10]
21157;[10, 0, 02]
21114;[2, 12, 02]
22004;[10, 12, 1]
22056;[02, 12, 2]
29207;[12, 2, 02]
29211;[10, 1, 12]
29208;[10, 02, 0]
29199;[10, 0, 02]
29196;[12, 1, 10]
29195;[12, 1, 10]
1120;[0, 02, 10]
1118;[1, 10, 12]
29504;[0, 02, 10]
1519;[1, 12, 10]
29339;[10, 1, 12]
29345;[02, 0, 10]
29344;[02, 0, 10]
167;[1, 10, 12]
23870;[10, 02, 0]
24321;[10, 1, 12]
247;[10, 1, 12]
1767;[10, 1, 12]
1477;[12, 1, 10]
171;[12, 1, 10]
29381;[1, 12, 10]
29382;[10, 1, 12]
29387;[12, 1, 10]
23863;[1, 12, 10]
25169;[1, 10, 12]
1344;[10, 0, 02]
